Auslegungs-temperaturen;"b h,g 0,1 (ubh)";"b h,g 0,2 (ubh)";"b h,g 0,3 (ubh)";"b h,g 0,4 (ubh)";"b h,g 0,5 (ubh)";"b h,g 0,6 (ubh)";"b h,g 0,7 (ubh)";"b h,g 0,8 (ubh)";"b h,g 0,9 (ubh)";"b h,g 1,0 (ubh)";"b h,g 0,1 (bh)";"b h,g 0,2 (bh)";"b h,g 0,3 (bh)";"b h,g 0,4 (bh)";"b h,g 0,5 (bh)";"b h,g 0,6 (bh)";"b h,g 0,7 (bh)";"b h,g 0,8 (bh)";"b h,g 0,9 (bh)";"b h,g 1,0 (bh)"
gas_35_28;0,997;0,995;0,993;0,985;0,977;0,969;0,962;0,954;0,947;0,94;0,996;0,995;0,993;0,985;0,977;0,969;0,962;0,954;0,947;0,94
gas_55_45;0,999;0,998;0,998;0,994;0,991;0,987;0,984;0,981;0,978;0,975;0,998;0,998;0,998;0,994;0,991;0,987;0,984;0,981;0,978;0,975
gas_70_55;1;1;1;1;1;1;1;1;1;1;0,999;1;1;1;1;1;1;1;1;1
gas_90_70;1,002;1,003;1,004;1,009;1,014;1,019;1,024;1,028;1,033;1,037;1,001;1,002;1,004;1,009;1,014;1,019;1,024;1,028;1,033;1,037
gas_oel_35_28;0,998;0,998;0,998;0,996;0,994;0,993;0,991;0,99;0,988;0,987;0,998;0,997;0,998;0,996;0,994;0,993;0,991;0,99;0,988;0,987
gas_oel_55_45;0,999;0,999;0,999;0,999;0,998;0,997;0,996;0,996;0,995;0,995;0,998;0,999;0,999;0,999;0,998;0,997;0,996;0,996;0,995;0,995
gas_oel_70_55;1;1;1;1;1;1;1;1;1;1;0,999;1;1;1;1;1;1;1;1;1
gas_oel_90_70;1,001;1,001;1,001;1,002;1,003;1,004;1,005;1,006;1,007;1,008;1;1,001;1,001;1,002;1,003;1,004;1,005;1,006;1,007;1,008
oel_35_28;0,993;0,987;0,982;0,977;0,973;0,969;0,965;0,962;0,958;0,955;0,992;0,987;0,982;0,977;0,973;0,969;0,965;0,962;0,958;0,955
oel_55_45;0,998;0,998;0,998;0,994;0,991;0,987;0,984;0,981;0,978;0,975;0,993;0,988;0,984;0,98;0,977;0,974;0,971;0,968;0,965;0,962
oel_70_55;0,995;0,99;0,985;0,982;0,979;0,977;0,974;0,972;0,969;0,967;0,994;0,989;0,985;0,982;0,979;0,977;0,974;0,972;0,969;0,967
oel_90_70;0,996;0,991;0,986;0,985;0,983;0,981;0,979;0,977;0,976;0,974;0,995;0,991;0,986;0,985;0,983;0,981;0,979;0,977;0,976;0,974