Bezeichnung (intern);y;T 30;T 40;T 50;T 60;T 70;T 80;T 90;T 100;T 110;T 120;T 130;T 140;T 150
y_0_1;0,1;0,999;1;1;1;1;1;1;1;1;1;1;1;1
y_0_2;0,2;0,992;0,997;0,999;1;1;1;1;1;1;1;1;1;1
y_0_3;0,3;0,978;0,99;0,995;0,998;0,999;0,999;1;1;1;1;1;1;1
y_0_4;0,4;0,956;0,975;0,986;0,992;0,996;0,998;0,999;0,999;1;1;1;1;1
y_0_5;0,5;0,927;0,954;0,97;0,981;0,988;0,992;0,995;0,997;0,998;0,999;0,999;0,999;1
y_0_6;0,6;0,893;0,926;0,948;0,963;0,973;0,981;0,986;0,99;0,993;0,995;0,996;0,997;0,998
y_0_7;0,7;0,856;0,892;0,918;0,937;0,951;0,962;0,97;0,976;0,981;0,985;0,988;0,991;0,992
y_0_8;0,8;0,818;0,855;0,883;0,904;0,921;0,934;0,944;0,953;0,96;0,966;0,971;0,975;0,979
y_0_9;0,9;0,78;0,817;0,845;0,867;0,884;0,898;0,91;0,92;0,928;0,935;0,942;0,947;0,952
y_1_0;1;0,742;0,778;0,805;0,826;0,843;0,857;0,869;0,879;0,887;0,895;0,901;0,907;0,912
y_1_1;1,1;0,706;0,739;0,765;0,785;0,8;0,813;0,824;0,833;0,841;0,847;0,853;0,858;0,863
y_1_2;1,2;0,671;0,702;0,726;0,743;0,757;0,769;0,778;0,786;0,792;0,798;0,802;0,806;0,809
y_1_3;1,3;0,638;0,667;0,688;0,704;0,716;0,725;0,733;0,739;0,744;0,748;0,752;0,755;0,757
y_1_4;1,4;0,608;0,634;0,652;0,666;0,676;0,684;0,69;0,695;0,699;0,702;0,704;0,706;0,708
y_1_5;1,5;0,579;0,603+E16;0,619;0,631;0,639;0,646;0,651;0,654;0,657;0,659;0,661;0,662;0,663
y_1_6;1,6;0,553;0,574;0,588;0,598;0,605;0,61;0,614;0,617;0,619;0,621;0,622;0,623;0,623
y_1_7;1,7;0,528;0,547;0,559;0,568;0,574;0,578;0,581;0,583;0,584;0,586;0,586;0,587;0,587
y_1_8;1,8;0,505;0,522;0,533;0,54;0,545;0,548;0,55;0,552;0,553;0,554;0,554;0,555;0,555
y_1_9;1,9;0,483;0,498;0,508;0,514;0,518;0,521;0,523;0,524;0,525;0,525;0,526;0,526;0,526
y_2_0;2;0,463;0,477;0,485;0,491;0,494;0,496;0,497;0,498;0,499;0,499;0,5;0,5;0,5
y_2_1;2,1;0,445;0,457;0,464;0,469;0,472;0,473;0,474;0,475;0,475;0,476;0,476;0,476;0,476
y_2_2;2,2;0,428;0,438;0,445;0,449;0,451;0,452;0,453;0,454;0,454;0,454;0,454;0,454;0,454
y_2_3;2,3;0,411;0,421;0,427;0,43;0,432;0,433;0,434;0,434;0,434;0,435;0,435;0,435;0,435
y_2_4;2,4;0,396;0,405;0,41;0,413;0,414;0,415;0,416;0,416;0,416;0,417;0,417;0,417;0,417
y_2_5;2,5;0,382;0,39;0,394;0,397;0,398;0,399;0,399;0,4;0,4;0,4;0,4;0,4;0,4
y_2_6;2,6;0,369;0,376;0,38;0,382;0,383;0,384;0,384;0,384;0,384;0,385;0,385;0,385;0,385
y_2_7;2,7;0,357;0,363;0,366;0,368;0,369;0,37;0,37;0,37;0,37;0,37;0,37;0,37;0,37
y_2_8;2,8;0,345;0,351;0,354;0,355;0,356;0,357;0,357;0,357;0,357;0,357;0,357;0,357;0,357
y_2_9;2,9;0,334;0,339;0,342;0,343;0,344;0,344;0,345;0,345;0,345;0,345;0,345;0,345;0,345
y_3_0;3;0,324;0,329;0,331;0,332;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333;0,333
y_3_1;3,1;0,314;0,318;0,321;0,322;0,322;0,322;0,322;0,323;0,323;0,323;0,323;0,323;0,323
y_3_2;3,2;0,305;0,309;0,311;0,312;0,312;0,312;0,312;0,312;0,312;0,312;0,312;0,312;0,312
y_3_3;3,3;0,296;0,3;0,301;0,302;0,303;0,303;0,303;0,303;0,303;0,303;0,303;0,303;0,303
y_3_4;3,4;0,288;0,291;0,293;0,293;0,294;0,294;0,294;0,294;0,294;0,294;0,294;0,294;0,294
y_3_5;3,5;0,28;0,283;0,285;0,285;0,285;0,286;0,286;0,286;0,286;0,286;0,286;0,286;0,286
y_3_6;3,6;0,273;0,276;0,277;0,277;0,278;0,278;0,278;0,278;0,278;0,278;0,278;0,278;0,278
y_3_7;3,7;0,266;0,268;0,269;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,27;0,27
y_3_8;3,8;0,259;0,261;0,262;0,263;0,263;0,263;0,263;0,263;0,263;0,263;0,263;0,263;0,263
y_3_9;3,9;0,253;0,255;0,256;0,256;0,256;0,256;0,256;0,256;0,256;0,256;0,256;0,256;0,256
y_4_0;4;0,246;0,249;0,249;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25
y_4_5;4,5;0,22;0,221;0,222;0,222;0,222;0,222;0,222;0,222;0,222;0,222;0,222;0,222;0,222
y_5_0;5;0,198;0,199;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
y_5_5;5,5;0,181;0,181;0,182;0,182;0,182;0,182;0,182;0,182;0,182;0,182;0,182;0,182;0,182
y_6_0;6;0,166;0,166;0,167;0,167;0,167;0,167;0,167;0,167;0,167;0,167;0,167;0,167;0,167
y_6_5;6,5;0,153;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154
y_7_0;7;0,142;0,143;0,143;0,143;0,143;0,143;0,143;0,143;0,143;0,143;0,143;0,143;0,143
y_7_5;7,5;0,133;0,133;0,133;0,133;0,133;0,133;0,133;0,133;0,133;0,133;0,133;0,133;0,133
y_8_0;8;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
y_8_5;8,5;0,117;0,118;0,118;0,118;0,118;0,118;0,118;0,118;0,118;0,118;0,118;0,118;0,118
y_9_0;9;0,111;0,111;0,111;0,111;0,111;0,111;0,111;0,111;0,111;0,111;0,111;0,111;0,111
y_9_5;9,5;0,105;0,105;0,105;0,105;0,105;0,105;0,105;0,105;0,105;0,105;0,105;0,105;0,105
y_10_0;10;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1