brennwertkessel_erdgas_hilfsenergieaufwand;;;;;;;;;;;
ID;Pn kW;b h,g 0,1;b h,g 0,2;b h,g 0,3;b h,g 0,4;b h,g 0,5;b h,g 0,6;b h,g 0,7;b h,g 0,8;b h,g 0,9;b h,g 1,0
beh_5;<= 5;0,0208;0,0267;0,0325;0,0418;0,051;0,0603;0,0696;0,0789;0,0882;0,0974
beh_10;10;0,0251;0,0352;0,0453;0,0582;0,0712;0,0841;0,0971;0,11;0,123;0,1359
beh_20;20;0,0311;0,0471;0,0632;0,0812;0,0993;0,1173;0,1354;0,1534;0,1715;0,1895
beh_30;30;0,0356;0,0562;0,0768;0,0987;0,1206;0,1425;0,1645;0,1864;0,2083;0,2303
beh_40;40;0,0394;0,0637;0,0881;0,1133;0,1385;0,1637;0,1888;0,214;0,2392;0,2644
beh_50;50;0,0427;0,0704;0,0981;0,1261;0,1541;0,1822;0,2102;0,2382;0,2662;0,2943
beh_60;60;0,0457;0,0764;0,1071;0,1376;0,1682;0,1988;0,2294;0,26;0,2906;0,3212
beh_70;70;0,0484;0,0819;0,1153;0,1482;0,1811;0,2141;0,247;0,28;0,3129;0,3458
beh_80;80;0,051;0,0869;0,1229;0,158;0,1931;0,2283;0,2634;0,2985;0,3336;0,3687
beh_90;90;0,0534;0,0917;0,1301;0,1672;0,2044;0,2415;0,2787;0,3158;0,353;0,3902
beh_100;100;0,0556;0,0962;0,1368;0,1759;0,215;0,2541;0,2931;0,3322;0,3713;0,4104
beh_120;120;0,0598;0,1045;0,1493;0,192;0,2346;0,2773;0,32;0,3626;0,4053;0,4479
beh_140;140;0,0636;0,1122;0,1608;0,2067;0,2527;0,2986;0,3445;0,3905;0,4364;0,4823
beh_160;160;0,0671;0,1193;0,1714;0,2204;0,2694;0,3184;0,3673;0,4163;0,4653;0,5143
beh_180;180;0,0705;0,1259;0,1814;0,2332;0,285;0,3369;0,3887;0,4405;0,4924;0,5442
beh_200;200;0,0736;0,1322;0,1908;0,2453;0,2998;0,3543;0,4089;0,4634;0,5179;0,5724
beh_250;250;0,0808;0,1466;0,2124;0,2731;0,3337;0,3944;0,4551;0,5158;0,5764;0,6371
beh_300;300;0,0873;0,1595;0,2318;0,298;0,3643;0,4305;0,4967;0,5629;0,6292;0,6954
beh_350;350;0,0932;0,1714;0,2496;0,3209;0,3922;0,4635;0,5349;0,6062;0,6775;0,7488
beh_400;400;0,0987;0,1824;0,2661;0,3422;0,4182;0,4942;0,5703;0,6463;0,7223;0,7984