ID;Nennleistung kW;Heizgrenztemperatur 10C kWh;Heizgrenztemperatur 12C kWh;Heizgrenztemperatur 15C kWh
2;<= 2;101;116;138
5;5;252;290;346
10;10;504;581;692
15;15;756;871;1038
20;20;1008;1162;1384
25;25;1260;1452;1730
30;30;1513;1742;2076
35;35;1765;2033;2422
40;40;2017;2323;2768
50;50;2521;2904;3460
60;60;3025;3485;4152
70;70;3529;4065;4845
80;80;4034;4646;5537
90;90;4538;5227;6229
100;100;5042;5808;6921
120;120;6050;6969;8305
140;140;7059;8131;9689
160;160;8067;9292;11073
180;180;9076;10454;12457
200;200;10084;11615;13842
300;300;15126;17423;20762
400;400;20168;23230;27683