Bezeichnung (intern);Nettogrundflaeche des Wohngebaeudes;kWh 16;kWh 15.5;kWh 15;kWh 14.5;kWh 14;kWh 13.5;kWh 13;kWh 12.5;kWh 12;kWh 11.5;kWh 11;kWh 10.5;kWh 10;kWh 9.5;kWh 9;kWh 8.5
50_qm;50;7,5;7,3;7,1;7;6,8;6,6;6,4;6,3;6,1;5,9;5,7;5,6;5,4;5,2;5;4,8
100_qm;100;12,1;11,8;11,6;11,3;11;10,8;10,5;10,2;9,9;9,6;9,3;9;8,7;8,4;8,1;7,8
150_qm;150;16,1;15,7;15,4;15;14,6;14,3;13,9;13,5;13,1;12,8;12,4;12;11,6;11,2;10,8;10,3
200_qm;200;19,7;19,2;18,8;18,4;17,9;17,5;17;16,5;16,1;15,6;15,1;14,6;14,2;13,7;13,1;12,6
300_qm;300;26,1;25,6;25;24,4;23,8;23,2;22,6;22;21,4;20,7;20,1;19,5;18,8;18,1;17,5;16,8
400_qm;400;32;31,3;30,5;29,8;29,1;28,4;27,6;26,9;26,1;25,4;24,6;23,8;23;22,2;21,4;20,5
500_qm;500;37,4;36,5;35,7;34,9;34;33,2;32,3;31,4;30,5;29,6;28,7;27,8;26,9;25,9;25;24
600_qm;600;42,4;41,5;40,6;39,6;38,7;37,7;36,7;35,7;34,7;33,7;32,7;31,6;30,5;29,5;28,4;27,3
700_qm;700;47,3;46,2;45,2;44,1;43,1;42;40,9;39,8;38,7;37,5;36,4;35,2;34;32,8;31,6;30,4
800_qm;800;51,9;50,8;49,6;48,5;47,3;46,1;44,9;43,7;42,4;41,2;39,9;38,7;37,4;36;34,7;33,3
900_qm;900;56,4;55,1;53,9;52,6;51,3;50,1;48,7;47,4;46,1;44,7;43,4;42;40,6;39,1;37,7;36,2
1000_qm;1000;60,7;59,4;58;56,6;55,3;53,9;52,5;51,1;49,6;48,2;46,7;45,2;43,7;42,1;40,6;39
2000_qm;2000;98,6;96,4;94,2;92;89,8;87,5;85,3;82,9;80,6;78,2;75,8;73,4;71;68,4;65,9;63,3
3000_qm;3000;130,9;128,1;125,2;122,2;119,3;116,3;113,2;110,2;107,1;103,9;100,7;97,5;94,2;90,9;87,5;84,1
4000_qm;4000;160,2;156,6;153,1;149,5;145,9;142,2;138,5;134,7;130,9;127,1;123,2;119,3;115,3;111,2;107,1;102,9
5000_qm;5000;187,2;183,1;179;174,8;170,5;166,2;161,9;157,5;153,1;148,6;144;139,4;134,7;130;125,2;120,3