Bezeichnung (intern);Flaeche;Vs sol (unbeheizt);Vs aux (unbeheizt);Vs ges (unbeheizt);Flachkollektoren A (unbeheizt);Flachkollektoren Q (unbeheizt);Flachkollektoren A (unbeheizt);Roehrenkollektoren Q (unbeheizt);Vs sol (beheizt);Vs aux (beheizt);Vs ges (beheizt);Flachkollektoren A (beheizt);Flachkollektoren Q (beheizt);Flachkollektoren A (beheizt);Roehrenkollektoren Q (beheizt)
a_100;100;185;173;359;4,8;1851;2,91;1986;173;162;335;4,48;1729;2,71;1854
a_150;150;241;191;432;6,26;2412;3,79;2587;229;181;410;5,94;2290;3,59;2456
a_200;200;298;209;507;7,73;2981;4,68;3198;286;200;485;7,4;2853;4,48;3061
a_300;300;414;244;658;10,72;4133;6,49;4433;400;236;637;10,38;4000;6,28;4291
a_400;400;530;277;808;13,74;5298;8,32;5683;516;270;786;13,38;5158;8,1;5533
a_500;500;648;308;956;16,79;6473;10,16;6943;633;301;934;16,4;6324;9,93;6784
a_600;600;766;338;1104;19,85;7653;12,01;8209;750;331;1081;19,44;7495;11,77;8040
a_700;700;885;366;1251;22,94;8843;13,88;9486;869;359;1229;22,53;8684;13,63;9315
a_800;800;1005;393;1397;26,03;10036;15,76;10766;989;386;1375;25,62;9876;15,5;10594
a_900;900;1124;418;1542;29,12;11225;17,62;12041;1107;412;1519;28,7;11063;17,37;11867
a_1000;1000;1244;443;1686;32,23;12426;19,51;13329;1227;436;1663;31,79;12254;19,24;13144
a_2000;2000;2454;653;3107;63,6;24519;38,49;26301;2433;647;3081;63,06;24310;38,16;26076
a_3000;3000;3677;825;4502;95,29;36733;57,67;39403;3650;819;4469;94,58;36462;57,24;39112
a_4000;4000;4904;975;5878;127,07;48985;76,9;52546;4870;968;5838;126,21;48653;76,38;52189
a_5000;5000;6130;1109;7239;158,84;61232;96,12;65682;6099;1104;7202;158,04;60923;95,64;65351