ID;kW;HK 15 K;HK 10 K;FBH 7 K
va_2_5;2,5;0,14;0,22;0,31
va_5;5;0,29;0,43;0,62
va_10;10;0,58;0,87;1,24
va_20;20;1,16;1,74;2,48
va_30;30;1,74;2,61;3,73
va_40;40;1,97;3,48;4,97
va_50;50;2,32;4,35;6,21
va_60;60;2,9;5,22;7,45
va_70;70;3,48;6,09;8,7
va_80;80;4,06;6,96;9,94
va_90;90;4,64;7,83;11,18
va_100;100;5,22;8,7;12,42
va_110;110;5,8;9,57;13,66
va_120;120;6,38;10,43;14,91
va_130;130;6,96;11,3;16,15
va_140;140;7,54;12,17;17,39
va_150;150;8,12;13,04;18,63
va_160;160;8,7;13,91;19,88
va_170;170;9,28;14,78;21,12
va_180;180;9,86;15,65;22,36
va_190;190;10,43;16,52;23,6
va_200;200;11,01;17,39;24,84
va_300;300;17,39;26,09;37,27
va_400;400;23,19;34,78;49,69