Bezeichnung (intern);Volumen (l);90 (unbeheizt);70 (unbeheizt);55 (unbeheizt);35 (unbeheizt);90 (beheizt);70 (beheizt);55 (beheizt);35 (beheizt)
v_40;40;220;170;135;77;170;120;85;27
v_75;75;276;213;169;97;213;151;106;34
v_100;100;308;238;189;108;238;168;119;38
v_200;200;407;315;250;143;314;223;157;51
v_300;300;483;374;296;170;373;264;186;60
v_400;400;547;424;336;193;422;299;211;68
v_500;500;603;467;370;213;466;330;233;75
v_600;600;654;507;402;231;506;358;253;82
v_700;700;701;543;431;247;542;384;271;88
v_800;800;745;577;457;263;576;408;288;93
v_900;900;786;609;483;277;607;430;304;98
v_1000;1000;825;639;506;291;637;451;319;103
v_1100;1100;862;668;529;304;666;472;333;108
v_1200;1200;897;695;551;316;693;491;347;112
v_1300;1300;931;721;571;328;719;509;360;116
v_1400;1400;964;747;591;340;744;527;372;121
v_1500;1500;995;771;611;351;769;544;384;124